seqgen12,pstatabb,pname,orispl,genid,numblr,genstat,prmvr,fuelg1,namepcap,cfact,genntan,genntoz,generrc,genyronl,notes
684,AL,Browns Ferry,46,2,1,OP,ST,NUC,1152,0.948915426,9575999.0,0.0,F923NK,1975,
685,AL,Browns Ferry,46,3,1,OP,ST,NUC,1190,0.767385461,7999533.0,0.0,F923NK,1977,
691,AL,Charles R Lowman,56,2,1,OP,ST,BIT,236,0.424858273,878335.0,0.0,F923ST,1978,
692,AL,Charles R Lowman,56,3,1,OP,ST,BIT,236,0.483461032,999488.0,0.0,F923ST,1980,
693,AL,Colbert,47,1,1,OP,ST,BIT,200,0.414212329,725700.0,0.0,F923ST,1955,
694,AL,Colbert,47,2,1,OP,ST,BIT,200,0.558065639,977731.0,0.0,F923ST,1955,
695,AL,Colbert,47,3,1,OP,ST,BIT,200,0.425192922,744938.0,0.0,F923ST,1955,
696,AL,Colbert,47,4,1,OP,ST,BIT,200,0.298153539,522365.0,0.0,F923ST,1955,
697,AL,Colbert,47,5,1,OP,ST,BIT,550,0.081815276,394186.0,0.0,F923ST,1965,
717,AL,Decatur Energy Center,55292,STG1,3,OP,CA,NG,270,0.470629968,1113134.0,0.0,F923ST,2002,
728,AL,E B Harris Electric Generating Plant,7897,ST1,2,OP,CA,NG,282,0.550476052,1359852.0,0.0,F923ST,2003,
729,AL,E B Harris Electric Generating Plant,7897,ST2,2,OP,CA,NG,282,0.484748535,1197484.0,0.0,F923ST,2003,
730,AL,E C Gaston,26,1,1,OP,ST,BIT,272,0.328682346,783158.0,0.0,F923ST,1960,
731,AL,E C Gaston,26,2,1,OP,ST,BIT,272,0.358082779,853211.0,0.0,F923ST,1960,
732,AL,E C Gaston,26,3,1,OP,ST,BIT,272,0.352377115,839616.0,0.0,F923ST,1961,
733,AL,E C Gaston,26,5,1,OP,ST,BIT,952,0.592922974,4944693.0,0.0,F923ST,1974,
734,AL,E C Gaston,26,GT4,0,OP,GT,DFO,21.2,0.000441544,82.0,0.0,F923NONK,1970,
735,AL,E C Gaston,26,ST4,1,OP,ST,BIT,244.8,0.333080121,714273.0,0.0,F923ST,1962,
740,AL,Fairfield Works,50730,GEN1,1,OP,ST,BFG,20,0.351980594,61667.0,0.0,F923ST,1928,
741,AL,Fairfield Works,50730,GEN2,1,OP,ST,BFG,20,0.344977169,60440.0,0.0,F923ST,1928,
743,AL,Fairfield Works,50730,GEN4,1,OP,ST,BFG,22,0.171160232,32986.0,0.0,F923ST,1995,
744,AL,Gadsden,7,1,1,OP,ST,BIT,69,0.28199325,170448.0,0.0,F923ST,1949,
745,AL,Gadsden,7,2,1,OP,ST,BIT,69,0.085454305,51652.0,0.0,F923ST,1949,
748,AL,General Electric Plastic,7698,1,0,OP,CT,NG,82.2,0.727634181,523949.0,0.0,F923NONK,1999,
749,AL,General Electric Plastic,7698,2,1,OP,CA,NG,14.8,0.228017401,29562.0,0.0,F923ST,1999,
750,AL,Georgia-Pacific Brewton Mill,54789,1TG,6,OP,ST,BLQ,12.5,0.719506849,78786.0,0.0,F923ST,1957,
751,AL,Georgia-Pacific Brewton Mill,54789,2TG,6,OP,ST,BLQ,12.5,0.731315068,80079.0,0.0,F923ST,1964,
752,AL,Georgia-Pacific Brewton Mill,54789,3TG,6,OP,ST,BLQ,15.9,0.815190546,113543.0,0.0,F923ST,1982,
753,AL,Georgia-Pacific Consr Prods LP-Naheola,10699,GEN1,6,OP,ST,BLQ,15.6,0.525143426,71764.0,0.0,F923ST,1959,
754,AL,Georgia-Pacific Consr Prods LP-Naheola,10699,GEN2,6,OP,ST,BLQ,15.6,0.193207763,26403.0,0.0,F923ST,1962,
755,AL,Georgia-Pacific Consr Prods LP-Naheola,10699,GT3,1,OP,ST,BLQ,47.1,0.4530073,186909.0,0.0,F923ST,1993,
764,AL,Gorgas,8,10,1,OP,ST,BIT,788.8,0.318208341,2198784.0,0.0,F923ST,1972,
765,AL,Gorgas,8,6,1,OP,ST,BIT,125,0.047650228,52177.0,0.0,F923ST,1951,
766,AL,Gorgas,8,7,1,OP,ST,BIT,125,0.086709589,94947.0,0.0,F923ST,1952,
767,AL,Gorgas,8,8,1,OP,ST,BIT,187.5,0.180154642,295904.0,0.0,F923ST,1956,
768,AL,Gorgas,8,9,1,OP,ST,BIT,190.4,0.24633672,410866.0,0.0,F923ST,1958,
769,AL,Greene County,10,1,1,OP,ST,BIT,299.2,0.407856262,1068988.0,0.0,F923ST,1965,
770,AL,Greene County,10,2,1,OP,ST,BIT,269.2,0.401483001,946774.0,0.0,F923ST,1966,
792,AL,H Allen Franklin Combined Cycle,7710,ST1,2,OP,CA,NG,213.3,0.636657162,1189599.0,0.0,F923ST,2002,
793,AL,H Allen Franklin Combined Cycle,7710,ST2,2,OP,CA,NG,281.9,0.606708636,1498233.0,0.0,F923ST,2002,
794,AL,H Allen Franklin Combined Cycle,7710,ST3,2,OP,CA,NG,281.9,0.598403932,1477725.0,0.0,F923ST,2008,
803,AL,Hillabee Energy Center,55411,HECS,2,OP,CA,NG,306,0.674335214,1807596.0,0.0,F923ST,2010,
804,AL,Hog Bayou Energy Center,55241,CT01,0,OP,CT,NG,200,0.423143836,741348.0,0.0,F923NONK,2001,
805,AL,Hog Bayou Energy Center,55241,ST01,1,OP,CA,NG,80,0.531354167,372373.0,0.0,F923ST,2001,
806,AL,Holt Dam,12,1,0,OP,HY,WAT,40,0.444783105,155852.0,0.0,F923NONK,1968,
807,AL,International Paper Courtland Mill,50245,ABB,3,OP,ST,BLQ,61.2,0.553673486,296831.0,0.0,F923ST,1991,
808,AL,International Paper Courtland Mill,50245,GE,3,OP,ST,BLQ,27.5,0.249651308,60141.0,0.0,F923ST,1993,
809,AL,International Paper Courtland Mill,50245,GT,0,OP,GT,NG,38.4,0.342914348,115350.9,0.0,F923NONK,1990,
