plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,Chautauqua LFGTE Facility,57186,ADD,LFG,9.6,0.57,47801,0,0,0,0,0,0
NY,Clinton LFGTE Facility,56986,ADD,LFG,6.4,0.79,44404,0,0,0,0,0,0
NY,Cohocton Wind Project,56634,ADD,WND,87.5,0.22,172095,0,0,0,0,0,0
NY,Colonie LFGTE Facility,56324,ADD,LFG,4.8,0.69,28856,0,0,0,0,0,0
NY,Colton,2551,ADD,WAT,36,0.56,175601,0,0,0,0,0,0
NY,Copenhagen Plant,10545,ADD,WAT,3.3,0.34,9816,0,0,0,0,0,0
NY,Cornell Hydro,10286,ADD,WAT,1.9,0.23,3797,0,0,0,0,0,0
NY,Cornell University Central Heat,50368,ADD,NG,37.5,0.62,203572,0.82,0.04,1253.39,25.04,2.53,1254.7
NY,Covanta Babylon Inc,50649,ADD,MSB,17,0.78,115962,1.35,1.06,1743.19,620.45,82.73,1781.86
NY,Covanta Hempstead,10642,ADD,MSB,78.6,0.79,547200,1.84,1.3,1814.84,644.5,85.97,1855.03
NY,Covanta Niagara LP,50472,ADD,MSB,50,0.49,216060.01,5.54,14.85,1140.29,402.9,53.69,1165.39
NY,CPV Valley Energy Center,56940,ADD,NG,775,0,0,0,0,0,0,0,0
NY,Crescent,2685,ADD,WAT,11.6,0.46,47105,0,0,0,0,0,0
NY,Cricket Valley Energy,57185,ADD,NG,1170,0,0,0,0,0,0,0,0
NY,Curtis Palmer Hydroelectric,54580,ADD,WAT,59,0.58,300234,0,0,0,0,0,0
NY,Dahowa Hydro,50280,ADD,WAT,10.5,0.33,29945,0,0,0,0,0,0
NY,DANC LFGTE Facility,56958,ADD,LFG,6.4,0.73,40938,0,0,0,0,0,0
NY,Danskammer Generating Station,2480,ADD,BIT,537.4,0.07,320945,2.68,8.88,2068.93,24.4,34.98,2080.29
NY,Dashville,2481,ADD,WAT,4.8,0.34,14213,0,0,0,0,0,0
NY,Deferiet,2552,ADD,WAT,12,0.44,46608,0,0,0,0,0,0
NY,Dexter Plant,10538,ADD,WAT,4.2,0.51,18806,0,0,0,0,0,0
NY,Diamond Island Plant,10540,ADD,WAT,1.2,0.53,5593,0,0,0,0,0,0
NY,Diana Hydroelectric,10237,ADD,WAT,1.8,0.38,6062,0,0,0,0,0,0
NY,Dolgeville Hydro,10238,ADD,WAT,5,0.34,14945,0,0,0,0,0,0
NY,Dunkirk Generating Plant,2554,ADD,SUB,627.2,0.11,621795.01,1.85,6.97,2350.55,26.06,39.1,2363.22
NY,Dutch Hill Wind Project,56633,ADD,WND,37.5,0.23,75333,0,0,0,0,0,0
NY,Dutchess Cnty Resource Recovery Facility,10305,ADD,MSB,9.2,0.6,48447,8.68,24.7,1838.85,588.86,78.51,1875.56
NY,E F Barrett,2511,ADD,NG,669.2,0.2,1146494.95,1.46,0.01,1396.31,27.36,2.74,1397.73
NY,E J West,6527,ADD,WAT,22,0.3,57045,0,0,0,0,0,0
NY,Eagle,2555,ADD,WAT,6,0.53,27877,0,0,0,0,0,0
NY,East Hampton,2512,ADD,DFO,27.3,0.03,7935,8.74,2.51,1998.1,85.84,17.17,2005.22
NY,East Norfolk,2561,ADD,WAT,4,0.6,20957,0,0,0,0,0,0
NY,Ecogen Wind,56370,ADD,WND,79.5,0,0,0,0,0,0,0,0
NY,Edgewood Energy LLC,55786,ADD,NG,100,0.23,201275,0.1,0.01,1244.28,24.35,2.44,1245.55
NY,Eel Weir,2556,ADD,WAT,2.5,0.37,8131,0,0,0,0,0,0
NY,Effley,2557,ADD,WAT,3,0.49,12908,0,0,0,0,0,0
NY,Elmer,2559,ADD,WAT,2,0.53,9333,0,0,0,0,0,0
NY,Empire Generating Co  LLC,56259,ADD,NG,653.7,0.62,3541874,0.05,0,895.89,17.53,1.76,896.8
NY,Entenmanns Energy Center,54541,ADD,NG,5.2,0.33,14864,2.67,0.21,753.84,18.51,2.51,755
NY,Ephratah,2560,ADD,WAT,4,0.28,9847,0,0,0,0,0,0
NY,Equus Freeport Power,56032,ADD,NG,60,0.12,62578,0.12,0.01,1216.4,23.8,2.38,1217.64
NY,Far Rockaway,2513,ADD,NG,100,0.17,151412,0.88,0.01,1290.87,25.26,2.53,1292.19
NY,Feeder Dam Hydro Plant,10530,ADD,WAT,5,0.57,25005,0,0,0,0,0,0
NY,Fenner Wind,55790,ADD,WND,30,0.22,58567,0,0,0,0,0,0
NY,Finch Paper,10511,ADD,WDL,29,0.6,153247.55,2.1,0.14,167.43,127.28,18.11,175.72
NY,Five Falls,2562,ADD,WAT,24,0.39,82827,0,0,0,0,0,0
NY,Flat Rock,2563,ADD,WAT,5,0.35,15353,0,0,0,0,0,0
NY,Forestport,50768,ADD,WAT,3.4,0.29,8639,0,0,0,0,0,0
NY,Fort Miller Hydroelectric Facility,50514,ADD,WAT,5,0.47,20772,0,0,0,0,0,0
NY,Fortistar North Tonawanda,54131,ADD,NG,55.3,0.16,75159,0.63,0,885.91,17.34,1.74,886.81
NY,Fourth Branch Hydroelectric Facility,10467,ADD,WAT,3.3,0.52,15013,0,0,0,0,0,0
NY,Franklin,2564,ADD,WAT,2,0.47,8227,0,0,0,0,0,0
NY,Fulton,2566,ADD,WAT,1.3,0.4,4511,0,0,0,0,0,0
NY,Fulton LFGTE Facility,57003,ADD,LFG,3.2,0.48,13447,0,0,0,0,0,0
NY,General Mills Inc,54564,ADD,NG,3.8,0.12,3885,0.51,0.02,647.01,12.88,1.29,647.68
NY,Glen Park Hydroelectric Project,50512,ADD,WAT,32.6,0.41,116241,0,0,0,0,0,0
NY,Glenwood,2514,ADD,NG,338,0.05,155036,0.95,0.18,1427.79,29.28,3.18,1429.39
NY,Glenwood,2568,ADD,WAT,1.5,0.51,6734,0,0,0,0,0,0
NY,Glenwood Landing,7869,ADD,NG,122,0.12,133498,0.14,0.01,1256.22,24.57,2.46,1257.5
NY,GMMGreenidge LLC,2527,ADD,,112.5,0,0,0,0,0,0,0,0
NY,GMMM Westover,2526,ADD,BIT,118.8,0,0,0,0,0,0,0,0
NY,Goodyear Lake Plant,50079,ADD,WAT,1.4,0.29,3563,0,0,0,0,0,0
NY,Gouldtown,56704,ADD,WAT,2,0.62,10819,0,0,0,0,0,0
NY,Gowanus Gas Turbines Generating,2494,ADD,NG,640,0.01,49451,2.06,0.69,2120.41,53.88,7.58,2123.89
NY,Grahamsville,2627,ADD,WAT,18,0.56,87721,0,0,0,0,0,0
NY,Granby,2569,ADD,WAT,10,0.34,29573,0,0,0,0,0,0
NY,Greenport,2681,ADD,DFO,10.1,0,-272,-0.35,-0.05,-42.56,-1.82,-0.36,-42.71
NY,Hailesboro 4 Plant,10544,ADD,WAT,1.4,0.85,10478,0,0,0,0,0,0
